province,type,is_canal,adjacent,coastal_adjacent
Amarantine Coast,land,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Harelport Bay; Ixaocan; Ixaocan Sea,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Harelport Bay; Ixaocan; Ixaocan Sea
Amarantine Sea 1,sea,no,Amarantine Coast; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta,Amarantine Coast; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta
Amarantine Sea 2,sea,no,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 3; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 3; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta
Amarantine Sea 3,sea,no,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Harelport Bay; Icathian Sea; Ixaocan Sea; Northern Eternal Sea; Sea of Shadows; Shadow Isles; Southern Eternal Sea; The Jaws; The Serpentine Delta
Antathir Plain,land,no,Bay of Icathia; Bay of Shurima; Sai Khaleek; South Shurima,Bay of Icathia; Bay of Shurima; Sai Khaleek; South Shurima
Argent Mountains,land,no,Evenmoor; Kilgrove; Nockmirch; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; The Silent Forest; Trevale; Varju Mountains,
Aurma,land,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Bay; Western Central Sea,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Bay; Western Central Sea
Badlands,land,no,Blood Gulf; Bloodcliffs; Immortal Bastion; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; Varju Mountains; Western Great Barrier,Blood Gulf; Bloodcliffs; Immortal Bastion
Bard Mountain,land,no,Bard Wash; Dragonspine; Kinkou; Placidium of Navori; Puboe; Shon-Xan,
Bard Wash,land,no,Bard Mountain; Kinkou; Navori Bay; Navori Plains; Northern Passage; Puboe; Raikkon Sea,Navori Bay; Navori Plains; Northern Passage; Puboe; Raikkon Sea
Bargate Plains,land,no,Greenfang Mountains; Nockmirch; The Graygate; The Silent Forest; Trinity Mountains; Uwendale,
Basilich,land,no,Eastern Great Barrier; Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vindor; Western Guardian's Sea,Steward Mountain; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Vindor; Western Guardian's Sea
Bay of Icathia,sea,no,Antathir Plain; Bay of Shurima; North Icathia; Sai Khaleek; South Icathia,Antathir Plain; Bay of Shurima; North Icathia; Sai Khaleek; South Icathia
